Name of Food Stuff,Energy,Moisture,Protein,Fat,Minerals,Fibre,Carbos,Calcium,Phosphorous,Iron
,(Kcals),(g),(g),(g),(g),(g),(g),(mg),(mg),(mg)
,,,,,,,,,,
common foods,,,,,,,,,,
,,,,,,,,,,
*Nutritive value / 100 gms of raw ingredients,,,,,,,,,,
SAFFLOWER LEAVES,33,91,2,1,1,-,4,185,35,6
SHEPU,37,88,3,0,2,1,5,190,42,17
SPINACH,26,92,2,1,2,1,3,73,21,1
SPINACH stalks,20,93,1,0,2,-,4,90,20,2
SUSNI SAG,46,87,4,1,2,1,5,53,91,-
"TAMARIND LEAVES, tender",115,70,6,2,1,2,18,101,140,0
TURNIP GREENS,67,82,4,1,2,1,9,710,60,28
,,,,,,,,,,
Roots and Tubers ,,,,,,,,,,
,,,,,,,,,,
ARROW ROOT FLOUR,334,16,0,0,0,-,83,10,20,1
BANANA RHIZOME,51,85,0,0,1,1,12,25,10,1
BEET ROOT,43,88,2,0,1,1,9,18,55,1
CARROT,48,86,1,0,1,1,11,80,530,1
COLOCASIA,97,73,3,0,2,1,21,40,140,0
KHAMALU,79,80,1,0,1,0,18,16,31,0
MANGO GINGER,53,85,1,1,1,1,10,25,90,3
PARSNIP,101,72,1,0,1,2,23,50,40,0
POTATO,97,75,2,0,1,0,23,10,40,0
RADISH pink,32,91,1,0,1,1,7,50,20,0
RADISH rat-tailed,25,92,1,0,1,1,4,78,24,-
RADISH table,16,95,0,0,1,1,3,20,20,1
RADISH white,17,94,1,0,1,1,3,35,22,0
SWEET POTATO,120,68,1,0,1,1,28,46,50,0
TAPIOCA,157,59,1,0,1,1,38,50,40,1
TAPIOCA chips dried,338,12,1,0,2,2,83,91,70,4
TURNIP,29,92,0,0,1,1,6,30,40,0
"YAM, elephant",79,79,1,0,1,1,18,50,34,1
"YAM, ordinary",111,70,1,0,2,1,26,35,20,1
"YAM, wild",110,70,2,0,1,1,24,20,74,1
,,,,,,,,,,
,,,,,,,,,,
Other Vegetables ,,,,,,,,,,
ASH GOURD,10,96,0,0,0,1,2,30,20,1
"BEANS, scarlet runner",158,58,7,1,2,2,30,50,160,3
BITTER GOURD,25,92,2,0,1,1,4,20,70,1
BITTER GOURD small,60,83,2,1,1,2,11,23,38,2
BOTTLE GOURD,12,96,0,0,0,1,2,20,10,0
BRINJAL,24,93,1,0,0,1,4,18,47,0
